City_Name,District_Name,Area_Name,Latitude,Longitude,Tourist_Place,Hidden_Place,Nearby_Hotel_Name,Hotel_Rating,Hotel_Address,Restaurant_Name,Restaurant_Rating,Restaurant_Address,Tiffin_Center_Name,Tiffin_Address,Lunch_Meals_Hotel,Lunch_Address,Accommodation_Details,Emergency_Service,Emergency_Address,Rating,Description,Final_Rating,Entry_Fee,Hotel
Achanta,West Godavari,Achanta Police Station Road,15.823892,79.807416,Achanta Cultural Museum,Achanta Sunset Hill,The Achanta Suites,4.7,"Near Achanta Police Station Road Main Junction, Achanta",Achanta Spice Dhaba,3.9,"Opposite Achanta Botanical Garden, Achanta Police Station Road, Achanta",Namma Achanta Darshini,"Market Road, Achanta Police Station Road, Achanta",Achanta Spice Dhaba,"Highway Bypass / Achanta Police Station Road Center, Achanta",The Achanta Suites / Similar Accommodations,Achanta Local Police Station,"Main Road, Achanta Police Station Road, Achanta",4.0,,4.0,,
Achanta,West Godavari,Achanta Railway Station Area,15.990269,79.71245,Achanta Railway Station Area Cultural Museum,Achanta Railway Station Area Old Fort Ruins,Grand Achanta Railway Station Area Boutique Hotel,4.6,"Near Achanta Railway Station Area Main Junction, Achanta",Achanta Railway Station Area Spice Dhaba,4.0,"Opposite Achanta Heritage Museum, Achanta Railway Station Area, Achanta",Namma Achanta Railway Station Area Tiffin Centre,"Market Road, Achanta Railway Station Area, Achanta",Achanta Railway Station Area Spice Dhaba,"Highway Bypass / Achanta Railway Station Area Center, Achanta",Grand Achanta Railway Station Area Boutique Hotel / Similar Accommodations,Achanta Railway Station Area Government Hospital,"Main Road, Achanta Railway Station Area, Achanta",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram East Hills,15.842036,79.719507,Achutapuram East Hills Lake Viewpoint,Achutapuram East Hills Hidden Creek,The Achutapuram East Hills Suites,4.3,"Near Achutapuram East Hills Main Junction, Achutapuram",Achutapuram East Hills Flavours,3.9,"Opposite Achutapuram Botanical Garden, Achutapuram East Hills, Achutapuram",Namma Achutapuram East Hills Darshini,"Market Road, Achutapuram East Hills, Achutapuram",Achutapuram East Hills Flavours,"Highway Bypass / Achutapuram East Hills Center, Achutapuram",The Achutapuram East Hills Suites / Similar Accommodations,Achutapuram East Hills Government Hospital,"Main Road, Achutapuram East Hills, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram North Cross Roads,15.906519,79.655938,Achutapuram North Cross Roads Promenade,Achutapuram North Cross Roads Ancient Stepwell,Hotel Achutapuram North Cross Roads Inn,4.5,"Near Achutapuram North Cross Roads Main Junction, Achutapuram",Achutapuram North Cross Roads Spice Dhaba,3.6,"Opposite Achutapuram City Central Park, Achutapuram North Cross Roads, Achutapuram",Namma Achutapuram North Cross Roads Cafe,"Market Road, Achutapuram North Cross Roads, Achutapuram",Achutapuram North Cross Roads Spice Dhaba,"Highway Bypass / Achutapuram North Cross Roads Center, Achutapuram",Hotel Achutapuram North Cross Roads Inn / Similar Accommodations,Achutapuram North Cross Roads Fire & Rescue,"Main Road, Achutapuram North Cross Roads, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Siva Veedhi,15.853802,79.827067,Siva Veedhi Heritage Temple,Siva Veedhi Ancient Stepwell,The Siva Veedhi Suites,4.4,"Near Siva Veedhi Main Junction, Achutapuram",Siva Veedhi Multi-Cuisine,3.6,"Opposite Achutapuram Heritage Museum, Siva Veedhi, Achutapuram",Sri Siva Veedhi Breakfast Corner,"Market Road, Siva Veedhi, Achutapuram",Siva Veedhi Multi-Cuisine,"Highway Bypass / Siva Veedhi Center, Achutapuram",The Siva Veedhi Suites / Similar Accommodations,Siva Veedhi Fire & Rescue,"Main Road, Siva Veedhi, Achutapuram",4.0,,4.0,Free,
Achutapuram,Anakapalli,Old Layout,15.827165,79.752863,Old Layout Promenade,Old Layout Hidden Creek,The Old Layout Inn,4.3,"Near Old Layout Main Junction, Achutapuram",Old Layout Biryani House,4.4,"Opposite Achutapuram Botanical Garden, Old Layout, Achutapuram",New Old Layout Breakfast Corner,"Market Road, Old Layout, Achutapuram",Old Layout Biryani House,"Highway Bypass / Old Layout Center, Achutapuram",The Old Layout Inn / Similar Accommodations,Old Layout Government Hospital,"Main Road, Old Layout, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram East Agraharam,15.904623,79.746429,Achutapuram East Agraharam Heritage Temple,Achutapuram East Agraharam Weavers Hamlet,The Achutapuram East Agraharam Suites,4.6,"Near Achutapuram East Agraharam Main Junction, Achutapuram",Achutapuram East Agraharam Flavours,4.2,"Opposite Achutapuram Heritage Museum, Achutapuram East Agraharam, Achutapuram",Namma Achutapuram East Agraharam Breakfast Corner,"Market Road, Achutapuram East Agraharam, Achutapuram",Achutapuram East Agraharam Flavours,"Highway Bypass / Achutapuram East Agraharam Center, Achutapuram",The Achutapuram East Agraharam Suites / Similar Accommodations,Achutapuram East Agraharam Local Police Station,"Main Road, Achutapuram East Agraharam, Achutapuram",4.0,,4.0,Free,
Achutapuram,Anakapalli,Maha Giri Agraharam,15.829774,79.669029,Maha Giri Agraharam Promenade,Maha Giri Agraharam Weavers Hamlet,The Maha Giri Agraharam Inn,4.5,"Near Maha Giri Agraharam Main Junction, Achutapuram",Maha Giri Agraharam Biryani House,4.8,"Opposite Achutapuram City Central Park, Maha Giri Agraharam, Achutapuram",Namma Maha Giri Agraharam Breakfast Corner,"Market Road, Maha Giri Agraharam, Achutapuram",Maha Giri Agraharam Biryani House,"Highway Bypass / Maha Giri Agraharam Center, Achutapuram",The Maha Giri Agraharam Inn / Similar Accommodations,Maha Giri Agraharam Fire & Rescue,"Main Road, Maha Giri Agraharam, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Lakshmi Giri Agraharam,15.993743,79.641719,Lakshmi Giri Agraharam Lake Viewpoint,Lakshmi Giri Agraharam Hidden Creek,Hotel Lakshmi Giri Agraharam Inn,4.6,"Near Lakshmi Giri Agraharam Main Junction, Achutapuram",Lakshmi Giri Agraharam Family Restaurant,3.9,"Opposite Achutapuram Botanical Garden, Lakshmi Giri Agraharam, Achutapuram",Namma Lakshmi Giri Agraharam Cafe,"Market Road, Lakshmi Giri Agraharam, Achutapuram",Lakshmi Giri Agraharam Family Restaurant,"Highway Bypass / Lakshmi Giri Agraharam Center, Achutapuram",Hotel Lakshmi Giri Agraharam Inn / Similar Accommodations,Lakshmi Giri Agraharam Government Hospital,"Main Road, Lakshmi Giri Agraharam, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram North Phase 2,15.857277,79.670366,Achutapuram North Phase 2 Cultural Museum,Achutapuram North Phase 2 Hidden Creek,Grand Achutapuram North Phase 2 Lodge,4.6,"Near Achutapuram North Phase 2 Main Junction, Achutapuram",Achutapuram North Phase 2 Multi-Cuisine,3.7,"Opposite Achutapuram Lake Promenade, Achutapuram North Phase 2, Achutapuram",Sri Achutapuram North Phase 2 Cafe,"Market Road, Achutapuram North Phase 2, Achutapuram",Achutapuram North Phase 2 Multi-Cuisine,"Highway Bypass / Achutapuram North Phase 2 Center, Achutapuram",Grand Achutapuram North Phase 2 Lodge / Similar Accommodations,Achutapuram North Phase 2 Fire & Rescue,"Main Road, Achutapuram North Phase 2, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram North Palem,15.813744,79.698242,Achutapuram North Palem Lake Viewpoint,Achutapuram North Palem Sunset Hill,Grand Achutapuram North Palem Lodge,4.6,"Near Achutapuram North Palem Main Junction, Achutapuram",Achutapuram North Palem Multi-Cuisine,3.9,"Opposite Achutapuram Heritage Museum, Achutapuram North Palem, Achutapuram",Sri Achutapuram North Palem Breakfast Corner,"Market Road, Achutapuram North Palem, Achutapuram",Achutapuram North Palem Multi-Cuisine,"Highway Bypass / Achutapuram North Palem Center, Achutapuram",Grand Achutapuram North Palem Lodge / Similar Accommodations,Achutapuram North Palem Local Police Station,"Main Road, Achutapuram North Palem, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram East Junction,15.917402,79.698422,Achutapuram East Junction Lake Viewpoint,Achutapuram East Junction Weavers Hamlet,Grand Achutapuram East Junction Boutique Hotel,4.1,"Near Achutapuram East Junction Main Junction, Achutapuram",Achutapuram East Junction Flavours,3.8,"Opposite Achutapuram Botanical Garden, Achutapuram East Junction, Achutapuram",New Achutapuram East Junction Darshini,"Market Road, Achutapuram East Junction, Achutapuram",Achutapuram East Junction Flavours,"Highway Bypass / Achutapuram East Junction Center, Achutapuram",Grand Achutapuram East Junction Boutique Hotel / Similar Accommodations,Achutapuram East Junction Local Police Station,"Main Road, Achutapuram East Junction, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram East Nagar,16.007278,79.641985,Achutapuram East Nagar Heritage Temple,Achutapuram East Nagar Old Fort Ruins,The Achutapuram East Nagar Inn,4.0,"Near Achutapuram East Nagar Main Junction, Achutapuram",Achutapuram East Nagar Biryani House,4.3,"Opposite Achutapuram Lake Promenade, Achutapuram East Nagar, Achutapuram",Sri Achutapuram East Nagar Tiffin Centre,"Market Road, Achutapuram East Nagar, Achutapuram",Achutapuram East Nagar Biryani House,"Highway Bypass / Achutapuram East Nagar Center, Achutapuram",The Achutapuram East Nagar Inn / Similar Accommodations,Achutapuram East Nagar Fire & Rescue,"Main Road, Achutapuram East Nagar, Achutapuram",4.0,,4.0,Free,
Achutapuram,Anakapalli,Achutapuram South Cross Roads,15.925945,79.698344,Achutapuram South Cross Roads Lake Viewpoint,Achutapuram South Cross Roads Weavers Hamlet,Grand Achutapuram South Cross Roads Boutique Hotel,4.1,"Near Achutapuram South Cross Roads Main Junction, Achutapuram",Achutapuram South Cross Roads Spice Dhaba,4.2,"Opposite Achutapuram Lake Promenade, Achutapuram South Cross Roads, Achutapuram",Authentic Achutapuram South Cross Roads Tiffin Centre,"Market Road, Achutapuram South Cross Roads, Achutapuram",Achutapuram South Cross Roads Spice Dhaba,"Highway Bypass / Achutapuram South Cross Roads Center, Achutapuram",Grand Achutapuram South Cross Roads Boutique Hotel / Similar Accommodations,Achutapuram South Cross Roads Primary Health Centre,"Main Road, Achutapuram South Cross Roads, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,New Puram Agraharam,15.987077,79.682015,New Puram Agraharam Lake Viewpoint,New Puram Agraharam Weavers Hamlet,Hotel New Puram Agraharam Boutique Hotel,4.1,"Near New Puram Agraharam Main Junction, Achutapuram",New Puram Agraharam Family Restaurant,4.4,"Opposite Achutapuram City Central Park, New Puram Agraharam, Achutapuram",Authentic New Puram Agraharam Cafe,"Market Road, New Puram Agraharam, Achutapuram",New Puram Agraharam Family Restaurant,"Highway Bypass / New Puram Agraharam Center, Achutapuram",Hotel New Puram Agraharam Boutique Hotel / Similar Accommodations,New Puram Agraharam Government Hospital,"Main Road, New Puram Agraharam, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Nehru Cross Roads,15.960482,79.702941,Nehru Cross Roads Cultural Museum,Nehru Cross Roads Hidden Creek,Grand Nehru Cross Roads Inn,4.6,"Near Nehru Cross Roads Main Junction, Achutapuram",Nehru Cross Roads Multi-Cuisine,4.6,"Opposite Achutapuram Botanical Garden, Nehru Cross Roads, Achutapuram",New Nehru Cross Roads Darshini,"Market Road, Nehru Cross Roads, Achutapuram",Nehru Cross Roads Multi-Cuisine,"Highway Bypass / Nehru Cross Roads Center, Achutapuram",Grand Nehru Cross Roads Inn / Similar Accommodations,Nehru Cross Roads Government Hospital,"Main Road, Nehru Cross Roads, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Sri Palem,15.972113,79.696068,Sri Palem Promenade,Sri Palem Ancient Stepwell,Grand Sri Palem Lodge,4.5,"Near Sri Palem Main Junction, Achutapuram",Sri Palem Spice Dhaba,3.7,"Opposite Achutapuram Local Shiva Temple, Sri Palem, Achutapuram",Sri Sri Palem Breakfast Corner,"Market Road, Sri Palem, Achutapuram",Sri Palem Spice Dhaba,"Highway Bypass / Sri Palem Center, Achutapuram",Grand Sri Palem Lodge / Similar Accommodations,Sri Palem Fire & Rescue,"Main Road, Sri Palem, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram South Agraharam,15.827252,79.805891,Achutapuram South Agraharam Promenade,Achutapuram South Agraharam Ancient Stepwell,Hotel Achutapuram South Agraharam Suites,4.9,"Near Achutapuram South Agraharam Main Junction, Achutapuram",Achutapuram South Agraharam Biryani House,4.3,"Opposite Achutapuram Botanical Garden, Achutapuram South Agraharam, Achutapuram",Namma Achutapuram South Agraharam Tiffin Centre,"Market Road, Achutapuram South Agraharam, Achutapuram",Achutapuram South Agraharam Biryani House,"Highway Bypass / Achutapuram South Agraharam Center, Achutapuram",Hotel Achutapuram South Agraharam Suites / Similar Accommodations,Achutapuram South Agraharam Government Hospital,"Main Road, Achutapuram South Agraharam, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram East Extension,15.997023,79.668952,Achutapuram East Extension Lake Viewpoint,Achutapuram East Extension Weavers Hamlet,Hotel Achutapuram East Extension Boutique Hotel,4.1,"Near Achutapuram East Extension Main Junction, Achutapuram",Achutapuram East Extension Flavours,4.7,"Opposite Achutapuram City Central Park, Achutapuram East Extension, Achutapuram",Sri Achutapuram East Extension Breakfast Corner,"Market Road, Achutapuram East Extension, Achutapuram",Achutapuram East Extension Flavours,"Highway Bypass / Achutapuram East Extension Center, Achutapuram",Hotel Achutapuram East Extension Boutique Hotel / Similar Accommodations,Achutapuram East Extension Government Hospital,"Main Road, Achutapuram East Extension, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram Main Road,15.824862,79.714676,Achutapuram Main Road Central Park,Achutapuram Main Road Ancient Stepwell,Hotel Achutapuram Main Road Inn,4.9,"Near Achutapuram Main Road Main Junction, Achutapuram",Achutapuram Main Road Spice Dhaba,4.2,"Opposite Achutapuram Historic Fort Ruins, Achutapuram Main Road, Achutapuram",Authentic Achutapuram Main Road Breakfast Corner,"Market Road, Achutapuram Main Road, Achutapuram",Achutapuram Main Road Spice Dhaba,"Highway Bypass / Achutapuram Main Road Center, Achutapuram",Hotel Achutapuram Main Road Inn / Similar Accommodations,Achutapuram Main Road Local Police Station,"Main Road, Achutapuram Main Road, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Gandhi Nagar,15.862469,79.799451,Gandhi Nagar Historic Monument,Gandhi Nagar Old Fort Ruins,Hotel Gandhi Nagar Boutique Hotel,4.3,"Near Gandhi Nagar Main Junction, Achutapuram",Gandhi Nagar Flavours,4.8,"Opposite Achutapuram Historic Fort Ruins, Gandhi Nagar, Achutapuram",New Gandhi Nagar Cafe,"Market Road, Gandhi Nagar, Achutapuram",Gandhi Nagar Flavours,"Highway Bypass / Gandhi Nagar Center, Achutapuram",Hotel Gandhi Nagar Boutique Hotel / Similar Accommodations,Gandhi Nagar Local Police Station,"Main Road, Gandhi Nagar, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram Railway Station Area,15.872032,79.664978,Achutapuram Railway Station Area Historic Monument,Achutapuram Railway Station Area Sunset Hill,Hotel Achutapuram Railway Station Area Boutique Hotel,4.2,"Near Achutapuram Railway Station Area Main Junction, Achutapuram",Achutapuram Railway Station Area Spice Dhaba,4.4,"Opposite Achutapuram Lake Promenade, Achutapuram Railway Station Area, Achutapuram",Sri Achutapuram Railway Station Area Tiffin Centre,"Market Road, Achutapuram Railway Station Area, Achutapuram",Achutapuram Railway Station Area Spice Dhaba,"Highway Bypass / Achutapuram Railway Station Area Center, Achutapuram",Hotel Achutapuram Railway Station Area Boutique Hotel / Similar Accommodations,Achutapuram Railway Station Area Local Police Station,"Main Road, Achutapuram Railway Station Area, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Lakshmi Layout,15.956947,79.668605,Lakshmi Layout Lake Viewpoint,Lakshmi Layout Hidden Creek,The Lakshmi Layout Suites,4.8,"Near Lakshmi Layout Main Junction, Achutapuram",Lakshmi Layout Spice Dhaba,4.2,"Opposite Achutapuram Historic Fort Ruins, Lakshmi Layout, Achutapuram",New Lakshmi Layout Breakfast Corner,"Market Road, Lakshmi Layout, Achutapuram",Lakshmi Layout Spice Dhaba,"Highway Bypass / Lakshmi Layout Center, Achutapuram",The Lakshmi Layout Suites / Similar Accommodations,Lakshmi Layout Primary Health Centre,"Main Road, Lakshmi Layout, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Vidya Hills,15.820982,79.721863,Vidya Hills Cultural Museum,Vidya Hills Sunset Hill,Hotel Vidya Hills Inn,4.6,"Near Vidya Hills Main Junction, Achutapuram",Vidya Hills Family Restaurant,3.5,"Opposite Achutapuram Lake Promenade, Vidya Hills, Achutapuram",Namma Vidya Hills Breakfast Corner,"Market Road, Vidya Hills, Achutapuram",Vidya Hills Family Restaurant,"Highway Bypass / Vidya Hills Center, Achutapuram",Hotel Vidya Hills Inn / Similar Accommodations,Vidya Hills Government Hospital,"Main Road, Vidya Hills, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Old Veedhi,15.993122,79.726974,Old Veedhi Cultural Museum,Old Veedhi Old Fort Ruins,Hotel Old Veedhi Lodge,4.8,"Near Old Veedhi Main Junction, Achutapuram",Old Veedhi Biryani House,4.7,"Opposite Achutapuram City Central Park, Old Veedhi, Achutapuram",New Old Veedhi Cafe,"Market Road, Old Veedhi, Achutapuram",Old Veedhi Biryani House,"Highway Bypass / Old Veedhi Center, Achutapuram",Hotel Old Veedhi Lodge / Similar Accommodations,Old Veedhi Fire & Rescue,"Main Road, Old Veedhi, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Sri Cross Roads,15.966106,79.737477,Sri Cross Roads Heritage Temple,Sri Cross Roads Old Fort Ruins,Grand Sri Cross Roads Suites,4.6,"Near Sri Cross Roads Main Junction, Achutapuram",Sri Cross Roads Family Restaurant,3.5,"Opposite Achutapuram Heritage Museum, Sri Cross Roads, Achutapuram",Namma Sri Cross Roads Darshini,"Market Road, Sri Cross Roads, Achutapuram",Sri Cross Roads Family Restaurant,"Highway Bypass / Sri Cross Roads Center, Achutapuram",Grand Sri Cross Roads Suites / Similar Accommodations,Sri Cross Roads Fire & Rescue,"Main Road, Sri Cross Roads, Achutapuram",4.0,,4.0,Free,
Achutapuram,Anakapalli,Achutapuram West Cross Roads,15.946359,79.801363,Achutapuram West Cross Roads Central Park,Achutapuram West Cross Roads Weavers Hamlet,Hotel Achutapuram West Cross Roads Suites,4.5,"Near Achutapuram West Cross Roads Main Junction, Achutapuram",Achutapuram West Cross Roads Flavours,3.7,"Opposite Achutapuram Historic Fort Ruins, Achutapuram West Cross Roads, Achutapuram",Authentic Achutapuram West Cross Roads Cafe,"Market Road, Achutapuram West Cross Roads, Achutapuram",Achutapuram West Cross Roads Flavours,"Highway Bypass / Achutapuram West Cross Roads Center, Achutapuram",Hotel Achutapuram West Cross Roads Suites / Similar Accommodations,Achutapuram West Cross Roads Primary Health Centre,"Main Road, Achutapuram West Cross Roads, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Venkateswara Ram Peta,15.941338,79.708044,Venkateswara Ram Peta Historic Monument,Venkateswara Ram Peta Sunset Hill,The Venkateswara Ram Peta Boutique Hotel,4.1,"Near Venkateswara Ram Peta Main Junction, Achutapuram",Venkateswara Ram Peta Spice Dhaba,4.5,"Opposite Achutapuram Local Shiva Temple, Venkateswara Ram Peta, Achutapuram",Sri Venkateswara Ram Peta Darshini,"Market Road, Venkateswara Ram Peta, Achutapuram",Venkateswara Ram Peta Spice Dhaba,"Highway Bypass / Venkateswara Ram Peta Center, Achutapuram",The Venkateswara Ram Peta Boutique Hotel / Similar Accommodations,Venkateswara Ram Peta Government Hospital,"Main Road, Venkateswara Ram Peta, Achutapuram",4.0,,4.0,,
Achutapuram,Anakapalli,Achutapuram West Layout,15.930269,79.818944,Achutapuram West Layout Central Park,Achutapuram West Layout Old Fort Ruins,Grand Achutapuram West Layout Inn,4.6,"Near Achutapuram West Layout Main Junction, Achutapuram",Achutapuram West Layout Biryani House,4.6,"Opposite Achutapuram Lake Promenade, Achutapuram West Layout, Achutapuram",Authentic Achutapuram West Layout Tiffin Centre,"Market Road, Achutapuram West Layout, Achutapuram",Achutapuram West Layout Biryani House,"Highway Bypass / Achutapuram West Layout Center, Achutapuram",Grand Achutapuram West Layout Inn / Similar Accommodations,Achutapuram West Layout Government Hospital,"Main Road, Achutapuram West Layout, Achutapuram",4.0,,4.0,,
