City_Name,District_Name,Areas
Yelamanchili,Anakapalli,"Yelamanchili Main Bazar, Yelamanchili RTC Bus Stand Area, NGO Colony, Yelamanchili Police Station Road, Maruthi Nagar, Kothapeta, Yelamanchili Railway Station Area, Revenue Colony, Bhavani Nagar, Sai Nagar"
Payakaraopeta,Anakapalli,"Payakaraopeta Main Bazar, Payakaraopeta RTC Bus Stand Area, Sai Nagar, Gandhi Nagar, Payakaraopeta Railway Station Area, Maruthi Nagar, Bhavani Nagar, NGO Colony"
Tuni,Anakapalli,"Tuni Main Bazar, Tuni RTC Bus Stand Area, Revenue Colony, Sai Nagar, Santhi Nagar, Gandhi Nagar, Tuni Railway Station Area, Maruthi Nagar, Tuni Main Road"
Chodavaram,Anakapalli,"Chodavaram Main Bazar, Chodavaram RTC Bus Stand Area, Kothapeta, Chodavaram Police Station Road, Gandhi Nagar, Chodavaram Railway Station Area, Sai Nagar"
Madugula,Anakapalli,"Madugula Main Bazar, Madugula RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Madugula Police Station Road, Madugula Main Road"
Ravikamatham,Anakapalli,"Ravikamatham Main Bazar, Ravikamatham RTC Bus Stand Area, Maruthi Nagar, Ravikamatham Police Station Road, NGO Colony, Ravikamatham Railway Station Area, Kothapeta, Sai Nagar, Santhi Nagar, Ravikamatham Main Road"
Rolugunta,Anakapalli,"Rolugunta Main Bazar, Rolugunta RTC Bus Stand Area, Sai Nagar, Rolugunta Main Road, Revenue Colony, Santhi Nagar, Maruthi Nagar"
Kotauratla,Anakapalli,"Kotauratla Main Bazar, Kotauratla RTC Bus Stand Area, Kotauratla Main Road, Sai Nagar, Santhi Nagar, Maruthi Nagar, NGO Colony"
Nakkapalli,Anakapalli,"Nakkapalli Main Bazar, Nakkapalli RTC Bus Stand Area, Santhi Nagar, NGO Colony, Nakkapalli Railway Station Area, Maruthi Nagar, Nakkapalli Police Station Road, Revenue Colony, Nakkapalli Main Road"
S Rayavaram,Anakapalli,"S Rayavaram Main Bazar, S Rayavaram RTC Bus Stand Area, S Rayavaram Railway Station Area, S Rayavaram Police Station Road, Maruthi Nagar, Bhavani Nagar, Gandhi Nagar"
Achutapuram,Anakapalli,"Achutapuram Main Bazar, Achutapuram RTC Bus Stand Area, Achutapuram Railway Station Area, Maruthi Nagar, Santhi Nagar, Gandhi Nagar, NGO Colony, Achutapuram Main Road, Revenue Colony, Kothapeta, Sai Nagar"
Kasimkota,Anakapalli,"Kasimkota Main Bazar, Kasimkota RTC Bus Stand Area, NGO Colony, Bhavani Nagar, Kasimkota Police Station Road, Gandhi Nagar, Santhi Nagar, Kasimkota Main Road, Maruthi Nagar, Kothapeta"
Munagapaka,Anakapalli,"Munagapaka Main Bazar, Munagapaka RTC Bus Stand Area, Bhavani Nagar, Munagapaka Police Station Road, Munagapaka Main Road, Gandhi Nagar, Revenue Colony, Kothapeta, Santhi Nagar, Sai Nagar"
Butchayyapeta,Anakapalli,"Butchayyapeta Main Bazar, Butchayyapeta RTC Bus Stand Area, Butchayyapeta Main Road, Revenue Colony, Butchayyapeta Railway Station Area, NGO Colony, Santhi Nagar, Gandhi Nagar, Bhavani Nagar"
Kotapadu,Anakapalli,"Kotapadu Main Bazar, Kotapadu RTC Bus Stand Area, Kotapadu Railway Station Area, Kotapadu Main Road, Santhi Nagar, NGO Colony, Gandhi Nagar, Maruthi Nagar, Bhavani Nagar, Kotapadu Police Station Road, Sai Nagar"
Devarapalli,Anakapalli,"Devarapalli Main Bazar, Devarapalli RTC Bus Stand Area, Devarapalli Main Road, Devarapalli Railway Station Area, Revenue Colony, Santhi Nagar, Sai Nagar"
Rambilli,Anakapalli,"Rambilli Main Bazar, Rambilli RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Bhavani Nagar, Gandhi Nagar, Revenue Colony, Rambilli Police Station Road, Rambilli Railway Station Area, Rambilli Main Road"
Makavarapalem,Anakapalli,"Makavarapalem Main Bazar, Makavarapalem RTC Bus Stand Area, Santhi Nagar, Kothapeta, Sai Nagar, Gandhi Nagar, NGO Colony, Makavarapalem Police Station Road"
Parvathipuram,Parvathipuram Manyam,"Parvathipuram Main Bazar, Parvathipuram RTC Bus Stand Area, NGO Colony, Maruthi Nagar, Revenue Colony, Parvathipuram Police Station Road, Sai Nagar, Kothapeta, Parvathipuram Railway Station Area"
Kurupam,Parvathipuram Manyam,"Kurupam Main Bazar, Kurupam RTC Bus Stand Area, Bhavani Nagar, Kurupam Police Station Road, Maruthi Nagar, Revenue Colony, Sai Nagar, Kothapeta, Gandhi Nagar"
Komarada,Parvathipuram Manyam,"Komarada Main Bazar, Komarada RTC Bus Stand Area, Santhi Nagar, Bhavani Nagar, Revenue Colony, NGO Colony, Komarada Main Road, Komarada Railway Station Area, Kothapeta"
Gummalakshmipuram,Parvathipuram Manyam,"Gummalakshmipuram Main Bazar, Gummalakshmipuram RTC Bus Stand Area, Gummalakshmipuram Police Station Road, Gandhi Nagar, Sai Nagar, Maruthi Nagar, Gummalakshmipuram Main Road, Bhavani Nagar"
Jiyyammavalasa,Parvathipuram Manyam,"Jiyyammavalasa Main Bazar, Jiyyammavalasa RTC Bus Stand Area, Jiyyammavalasa Railway Station Area, NGO Colony, Revenue Colony, Jiyyammavalasa Police Station Road, Santhi Nagar, Jiyyammavalasa Main Road, Gandhi Nagar"
Garugubilli,Parvathipuram Manyam,"Garugubilli Main Bazar, Garugubilli RTC Bus Stand Area, NGO Colony, Kothapeta, Garugubilli Main Road, Gandhi Nagar, Bhavani Nagar, Garugubilli Railway Station Area"
Seethanagaram,Parvathipuram Manyam,"Seethanagaram Main Bazar, Seethanagaram RTC Bus Stand Area, Seethanagaram Railway Station Area, Seethanagaram Main Road, Kothapeta, Revenue Colony, Maruthi Nagar"
Balijipeta,Parvathipuram Manyam,"Balijipeta Main Bazar, Balijipeta RTC Bus Stand Area, Balijipeta Railway Station Area, Santhi Nagar, Bhavani Nagar, Balijipeta Police Station Road, Maruthi Nagar, NGO Colony, Sai Nagar"
Makkuva,Parvathipuram Manyam,"Makkuva Main Bazar, Makkuva RTC Bus Stand Area, Gandhi Nagar, Maruthi Nagar, Makkuva Railway Station Area, Makkuva Main Road, Kothapeta"
Salur,Parvathipuram Manyam,"Salur Main Bazar, Salur RTC Bus Stand Area, Revenue Colony, Maruthi Nagar, Sai Nagar, Salur Railway Station Area, Gandhi Nagar, Santhi Nagar"
Pachipenta,Parvathipuram Manyam,"Pachipenta Main Bazar, Pachipenta RTC Bus Stand Area, Kothapeta, Santhi Nagar, Gandhi Nagar, Pachipenta Main Road, Sai Nagar, Bhavani Nagar, Pachipenta Railway Station Area"
Mentada,Parvathipuram Manyam,"Mentada Main Bazar, Mentada RTC Bus Stand Area, Mentada Main Road, NGO Colony, Mentada Railway Station Area, Santhi Nagar, Gandhi Nagar, Mentada Police Station Road"
Ramabhadrapuram,Parvathipuram Manyam,"Ramabhadrapuram Main Bazar, Ramabhadrapuram RTC Bus Stand Area, Gandhi Nagar, Ramabhadrapuram Police Station Road, Ramabhadrapuram Main Road, NGO Colony, Kothapeta, Revenue Colony, Santhi Nagar, Maruthi Nagar"
Badangi,Parvathipuram Manyam,"Badangi Main Bazar, Badangi RTC Bus Stand Area, Badangi Railway Station Area, Bhavani Nagar, Kothapeta, NGO Colony, Santhi Nagar, Badangi Main Road, Sai Nagar, Revenue Colony, Badangi Police Station Road"
Dattirajeru,Parvathipuram Manyam,"Dattirajeru Main Bazar, Dattirajeru RTC Bus Stand Area, Gandhi Nagar, Bhavani Nagar, Maruthi Nagar, Sai Nagar, Kothapeta, NGO Colony"
Terlam,Parvathipuram Manyam,"Terlam Main Bazar, Terlam RTC Bus Stand Area, Terlam Railway Station Area, Terlam Main Road, Sai Nagar, NGO Colony, Maruthi Nagar, Santhi Nagar, Kothapeta"
Merakamudidam,Parvathipuram Manyam,"Merakamudidam Main Bazar, Merakamudidam RTC Bus Stand Area, Santhi Nagar, Revenue Colony, Bhavani Nagar, Gandhi Nagar"
Garividi,Parvathipuram Manyam,"Garividi Main Bazar, Garividi RTC Bus Stand Area, Garividi Main Road, Revenue Colony, Kothapeta, NGO Colony, Santhi Nagar"
Bondapalli,Parvathipuram Manyam,"Bondapalli Main Bazar, Bondapalli RTC Bus Stand Area, Bondapalli Railway Station Area, Bondapalli Police Station Road, Gandhi Nagar, Santhi Nagar, Sai Nagar, Bondapalli Main Road"
Srikakulam,Srikakulam,"LBS Colony, Gujarathipeta, Balaga, Arasavilli, Hudco Colony, Kothapeta, Day & Night Junction, Ameerpet, Narasannapeta Road"
Amadalavalasa,Srikakulam,"Amadalavalasa Main Bazar, Amadalavalasa RTC Bus Stand Area, Bhavani Nagar, Amadalavalasa Police Station Road, Santhi Nagar, Sai Nagar"
Narasannapeta,Srikakulam,"Narasannapeta Main Bazar, Narasannapeta RTC Bus Stand Area, Maruthi Nagar, Kothapeta, Bhavani Nagar, Narasannapeta Railway Station Area, Gandhi Nagar"
Palasa,Srikakulam,"Palasa Main Bazar, Palasa RTC Bus Stand Area, Revenue Colony, Palasa Railway Station Area, Palasa Main Road, Gandhi Nagar, Santhi Nagar, Maruthi Nagar"
Kaviti,Srikakulam,"Kaviti Main Bazar, Kaviti RTC Bus Stand Area, Bhavani Nagar, Santhi Nagar, Revenue Colony, Kaviti Main Road, Kothapeta, Maruthi Nagar, Kaviti Police Station Road, Gandhi Nagar"
Ichchapuram,Srikakulam,"Ichchapuram Main Bazar, Ichchapuram RTC Bus Stand Area, Ichchapuram Police Station Road, Bhavani Nagar, Kothapeta, Ichchapuram Railway Station Area, Maruthi Nagar, Sai Nagar, Santhi Nagar, Ichchapuram Main Road"
Sompeta,Srikakulam,"Sompeta Main Bazar, Sompeta RTC Bus Stand Area, Gandhi Nagar, Sompeta Police Station Road, Sompeta Railway Station Area, Sai Nagar, Revenue Colony, NGO Colony, Santhi Nagar, Maruthi Nagar"
Tekkali,Srikakulam,"Tekkali Main Bazar, Tekkali RTC Bus Stand Area, Maruthi Nagar, Sai Nagar, NGO Colony, Kothapeta, Bhavani Nagar"
Rajam,Srikakulam,"Rajam Main Bazar, Rajam RTC Bus Stand Area, Bhavani Nagar, NGO Colony, Rajam Railway Station Area, Sai Nagar, Santhi Nagar, Kothapeta, Gandhi Nagar, Rajam Police Station Road"
Etcherla,Srikakulam,"Etcherla Main Bazar, Etcherla RTC Bus Stand Area, Gandhi Nagar, Etcherla Police Station Road, Bhavani Nagar, NGO Colony, Revenue Colony, Etcherla Railway Station Area, Sai Nagar, Santhi Nagar, Kothapeta"
Ranastalam,Srikakulam,"Ranastalam Main Bazar, Ranastalam RTC Bus Stand Area, Ranastalam Railway Station Area, Kothapeta, Gandhi Nagar, Ranastalam Police Station Road, Bhavani Nagar"
Santhabommali,Srikakulam,"Santhabommali Main Bazar, Santhabommali RTC Bus Stand Area, Santhabommali Railway Station Area, Santhabommali Main Road, Santhabommali Police Station Road, Revenue Colony, Santhi Nagar"
Kotabommali,Srikakulam,"Kotabommali Main Bazar, Kotabommali RTC Bus Stand Area, NGO Colony, Maruthi Nagar, Revenue Colony, Kotabommali Railway Station Area, Sai Nagar, Kotabommali Police Station Road, Bhavani Nagar, Kothapeta"
Polaki,Srikakulam,"Polaki Main Bazar, Polaki RTC Bus Stand Area, Polaki Police Station Road, NGO Colony, Gandhi Nagar, Santhi Nagar, Sai Nagar, Maruthi Nagar, Kothapeta, Polaki Railway Station Area"
Gara,Srikakulam,"Gara Main Bazar, Gara RTC Bus Stand Area, Santhi Nagar, Revenue Colony, Bhavani Nagar, Kothapeta"
Kanchili,Srikakulam,"Kanchili Main Bazar, Kanchili RTC Bus Stand Area, Santhi Nagar, Kothapeta, Maruthi Nagar, Bhavani Nagar, Sai Nagar"
Mandasa,Srikakulam,"Mandasa Main Bazar, Mandasa RTC Bus Stand Area, Mandasa Main Road, Kothapeta, Revenue Colony, Mandasa Railway Station Area, Maruthi Nagar, Gandhi Nagar"
Hiramandalam,Srikakulam,"Hiramandalam Main Bazar, Hiramandalam RTC Bus Stand Area, Hiramandalam Railway Station Area, Maruthi Nagar, NGO Colony, Bhavani Nagar, Kothapeta, Hiramandalam Main Road, Revenue Colony, Hiramandalam Police Station Road"
Laveru,Srikakulam,"Laveru Main Bazar, Laveru RTC Bus Stand Area, NGO Colony, Laveru Main Road, Kothapeta, Gandhi Nagar, Revenue Colony, Sai Nagar"
Vajrapukotturu,Srikakulam,"Vajrapukotturu Main Bazar, Vajrapukotturu RTC Bus Stand Area, Gandhi Nagar, Vajrapukotturu Main Road, NGO Colony, Vajrapukotturu Police Station Road, Vajrapukotturu Railway Station Area, Kothapeta, Santhi Nagar, Revenue Colony, Sai Nagar"
Visakhapatnam,Visakhapatnam,"MVP Colony, Seethammadhara, Akkayapalem, Dwaraka Nagar, Maddilapalem, Kancharapalem, Allipuram, Town Kotha Road, Murali Nagar, NAD Cross Roads, RK Beach, Rushikonda, Madhurawada, Gajuwaka, Siripuram, Jagadamba Junction, Bheemili, Simhachalam"
Bheemunipatnam,Visakhapatnam,"Bheemunipatnam Main Bazar, Bheemunipatnam RTC Bus Stand Area, Bheemunipatnam Railway Station Area, NGO Colony, Kothapeta, Bheemunipatnam Main Road, Bheemunipatnam Police Station Road"
Gajuwaka,Visakhapatnam,"Gajuwaka Main Bazar, Gajuwaka RTC Bus Stand Area, Bhavani Nagar, Kothapeta, Gajuwaka Police Station Road, Sai Nagar, Revenue Colony"
Anakapalle,Visakhapatnam,"Anakapalle Main Bazar, Anakapalle RTC Bus Stand Area, Revenue Colony, Anakapalle Main Road, Maruthi Nagar, Kothapeta, Santhi Nagar, Anakapalle Railway Station Area, Gandhi Nagar, Sai Nagar"
Yelamanchili,Visakhapatnam,"Yelamanchili Main Bazar, Yelamanchili RTC Bus Stand Area, NGO Colony, Yelamanchili Police Station Road, Maruthi Nagar, Kothapeta, Yelamanchili Railway Station Area, Revenue Colony, Bhavani Nagar, Sai Nagar"
Chodavaram,Visakhapatnam,"Chodavaram Main Bazar, Chodavaram RTC Bus Stand Area, Kothapeta, Chodavaram Police Station Road, Gandhi Nagar, Chodavaram Railway Station Area, Sai Nagar"
Madugula,Visakhapatnam,"Madugula Main Bazar, Madugula RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Madugula Police Station Road, Madugula Main Road"
Pendurthi,Visakhapatnam,"Pendurthi Main Bazar, Pendurthi RTC Bus Stand Area, Santhi Nagar, Kothapeta, Bhavani Nagar, Pendurthi Police Station Road, Pendurthi Railway Station Area"
Anandapuram,Visakhapatnam,"Anandapuram Main Bazar, Anandapuram RTC Bus Stand Area, Maruthi Nagar, Gandhi Nagar, Kothapeta, Anandapuram Railway Station Area, NGO Colony, Anandapuram Main Road, Bhavani Nagar"
Padmanabham,Visakhapatnam,"Padmanabham Main Bazar, Padmanabham RTC Bus Stand Area, Maruthi Nagar, Revenue Colony, Sai Nagar, Kothapeta, Padmanabham Main Road, Padmanabham Railway Station Area, Santhi Nagar"
Sabbavaram,Visakhapatnam,"Sabbavaram Main Bazar, Sabbavaram RTC Bus Stand Area, Revenue Colony, Sabbavaram Main Road, Kothapeta, Santhi Nagar, Bhavani Nagar, Sai Nagar"
Kasimkota,Visakhapatnam,"Kasimkota Main Bazar, Kasimkota RTC Bus Stand Area, NGO Colony, Bhavani Nagar, Kasimkota Police Station Road, Gandhi Nagar, Santhi Nagar, Kasimkota Main Road, Maruthi Nagar, Kothapeta"
Munagapaka,Visakhapatnam,"Munagapaka Main Bazar, Munagapaka RTC Bus Stand Area, Bhavani Nagar, Munagapaka Police Station Road, Munagapaka Main Road, Gandhi Nagar, Revenue Colony, Kothapeta, Santhi Nagar, Sai Nagar"
Butchayyapeta,Visakhapatnam,"Butchayyapeta Main Bazar, Butchayyapeta RTC Bus Stand Area, Butchayyapeta Main Road, Revenue Colony, Butchayyapeta Railway Station Area, NGO Colony, Santhi Nagar, Gandhi Nagar, Bhavani Nagar"
Devarapalli,Visakhapatnam,"Devarapalli Main Bazar, Devarapalli RTC Bus Stand Area, Devarapalli Main Road, Devarapalli Railway Station Area, Revenue Colony, Santhi Nagar, Sai Nagar"
Ravikamatham,Visakhapatnam,"Ravikamatham Main Bazar, Ravikamatham RTC Bus Stand Area, Maruthi Nagar, Ravikamatham Police Station Road, NGO Colony, Ravikamatham Railway Station Area, Kothapeta, Sai Nagar, Santhi Nagar, Ravikamatham Main Road"
Rolugunta,Visakhapatnam,"Rolugunta Main Bazar, Rolugunta RTC Bus Stand Area, Sai Nagar, Rolugunta Main Road, Revenue Colony, Santhi Nagar, Maruthi Nagar"
Kotauratla,Visakhapatnam,"Kotauratla Main Bazar, Kotauratla RTC Bus Stand Area, Kotauratla Main Road, Sai Nagar, Santhi Nagar, Maruthi Nagar, NGO Colony"
Nakkapalli,Visakhapatnam,"Nakkapalli Main Bazar, Nakkapalli RTC Bus Stand Area, Santhi Nagar, NGO Colony, Nakkapalli Railway Station Area, Maruthi Nagar, Nakkapalli Police Station Road, Revenue Colony, Nakkapalli Main Road"
Payakaraopeta,Visakhapatnam,"Payakaraopeta Main Bazar, Payakaraopeta RTC Bus Stand Area, Sai Nagar, Gandhi Nagar, Payakaraopeta Railway Station Area, Maruthi Nagar, Bhavani Nagar, NGO Colony"
Achutapuram,Visakhapatnam,"Achutapuram Main Bazar, Achutapuram RTC Bus Stand Area, Achutapuram Railway Station Area, Maruthi Nagar, Santhi Nagar, Gandhi Nagar, NGO Colony, Achutapuram Main Road, Revenue Colony, Kothapeta, Sai Nagar"
Rambilli,Visakhapatnam,"Rambilli Main Bazar, Rambilli RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Bhavani Nagar, Gandhi Nagar, Revenue Colony, Rambilli Police Station Road, Rambilli Railway Station Area, Rambilli Main Road"
Atchutapuram,Visakhapatnam,"Atchutapuram Main Bazar, Atchutapuram RTC Bus Stand Area, Maruthi Nagar, Gandhi Nagar, NGO Colony, Bhavani Nagar, Atchutapuram Railway Station Area, Sai Nagar, Atchutapuram Main Road, Santhi Nagar, Revenue Colony"
Kothavalasa,Visakhapatnam,"Kothavalasa Main Bazar, Kothavalasa RTC Bus Stand Area, Gandhi Nagar, Bhavani Nagar, Kothavalasa Main Road, Santhi Nagar, Revenue Colony, Sai Nagar, Kothavalasa Police Station Road"
Tagarapuvalasa,Visakhapatnam,"Tagarapuvalasa Main Bazar, Tagarapuvalasa RTC Bus Stand Area, Sai Nagar, Kothapeta, Santhi Nagar, Revenue Colony, NGO Colony, Tagarapuvalasa Police Station Road"
Vizianagaram,Vizianagaram,"Vizianagaram Main Bazar, Vizianagaram RTC Bus Stand Area, Gandhi Nagar, Sai Nagar, Maruthi Nagar, Bhavani Nagar"
Bobbili,Vizianagaram,"Bobbili Main Bazar, Bobbili RTC Bus Stand Area, Sai Nagar, Santhi Nagar, NGO Colony, Revenue Colony, Kothapeta"
Salur,Vizianagaram,"Salur Main Bazar, Salur RTC Bus Stand Area, Revenue Colony, Maruthi Nagar, Sai Nagar, Salur Railway Station Area, Gandhi Nagar, Santhi Nagar"
Parvathipuram,Vizianagaram,"Parvathipuram Main Bazar, Parvathipuram RTC Bus Stand Area, NGO Colony, Maruthi Nagar, Revenue Colony, Parvathipuram Police Station Road, Sai Nagar, Kothapeta, Parvathipuram Railway Station Area"
Cheepurupalli,Vizianagaram,"Cheepurupalli Main Bazar, Cheepurupalli RTC Bus Stand Area, Sai Nagar, Bhavani Nagar, Gandhi Nagar, NGO Colony, Cheepurupalli Main Road, Maruthi Nagar"
Gajapathinagaram,Vizianagaram,"Gajapathinagaram Main Bazar, Gajapathinagaram RTC Bus Stand Area, Bhavani Nagar, Gajapathinagaram Main Road, Gajapathinagaram Police Station Road, Sai Nagar, NGO Colony, Kothapeta, Maruthi Nagar, Gandhi Nagar"
Nellimarla,Vizianagaram,"Nellimarla Main Bazar, Nellimarla RTC Bus Stand Area, Sai Nagar, Revenue Colony, NGO Colony, Nellimarla Police Station Road, Bhavani Nagar, Nellimarla Main Road, Gandhi Nagar, Maruthi Nagar"
Srungavarapukota,Vizianagaram,"Srungavarapukota Main Bazar, Srungavarapukota RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Srungavarapukota Railway Station Area, Kothapeta, Gandhi Nagar, Srungavarapukota Main Road, Maruthi Nagar"
Kothavalasa,Vizianagaram,"Kothavalasa Main Bazar, Kothavalasa RTC Bus Stand Area, Gandhi Nagar, Bhavani Nagar, Kothavalasa Main Road, Santhi Nagar, Revenue Colony, Sai Nagar, Kothavalasa Police Station Road"
Denkada,Vizianagaram,"Denkada Main Bazar, Denkada RTC Bus Stand Area, Denkada Railway Station Area, NGO Colony, Denkada Police Station Road, Revenue Colony, Sai Nagar, Maruthi Nagar"
Bhogapuram,Vizianagaram,"Bhogapuram Main Bazar, Bhogapuram RTC Bus Stand Area, Sai Nagar, Revenue Colony, Bhavani Nagar, NGO Colony, Bhogapuram Police Station Road"
Pusapatirega,Vizianagaram,"Pusapatirega Main Bazar, Pusapatirega RTC Bus Stand Area, Pusapatirega Police Station Road, Pusapatirega Main Road, Sai Nagar, Maruthi Nagar"
Bondapalli,Vizianagaram,"Bondapalli Main Bazar, Bondapalli RTC Bus Stand Area, Bondapalli Railway Station Area, Bondapalli Police Station Road, Gandhi Nagar, Santhi Nagar, Sai Nagar, Bondapalli Main Road"
Jami,Vizianagaram,"Jami Main Bazar, Jami RTC Bus Stand Area, Jami Railway Station Area, Gandhi Nagar, Jami Police Station Road, Kothapeta, Santhi Nagar, Jami Main Road, Maruthi Nagar, Bhavani Nagar"
Mentada,Vizianagaram,"Mentada Main Bazar, Mentada RTC Bus Stand Area, Mentada Main Road, NGO Colony, Mentada Railway Station Area, Santhi Nagar, Gandhi Nagar, Mentada Police Station Road"
Garividi,Vizianagaram,"Garividi Main Bazar, Garividi RTC Bus Stand Area, Garividi Main Road, Revenue Colony, Kothapeta, NGO Colony, Santhi Nagar"
